ScientificName,USDACode,FamilyName,PrimaryGrowthForm,Lifespan,Clade,GrowthForm4Model,TissueType,IntroYear,DominantInvasionPathway,InvasiveRangeSize,HabitatBreadth,LocalAbundance,natrng,ClonalPropagation,RegenerativeCapacity,Range,pHMin,pHMax,HardinessZoneMin,HardinessZoneMax,SelfCompatible,SLA_m2kg1,SeedWeightMean_g,ElevationMin_m,ElevationMax_m,PrecipMin_in,PrecipMax_in,HeightMax_m,LeafWidthMax_cm,LeafLengthMax_cm,monoploid,holoploid,TissueTypeDummy,ResidenceTime
Leucaena leucocephala,LELE10,Fabaceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1895,Escape,68,8,775,9,,1,Short,5,8,9,10,,12.5481647,47.37,0,2100,25.6,137.8,15.00000001,0.45,2.1,1.299999999,10.43374791,0,131
Ligustrum obtusifolium,LIOB,Oleaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1902,Escape,120,25,26,5,,1,Long,5.191928342,7.507589903,3,7,,10.66500062,700.1527277,1.133830776,1024.230043,19.2211988,49.16,6.099999998,2.5,7.6,1.434508177,2.624565437,0,124
Ligustrum ovalifolium,LIOV,Oleaceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1894,,16,6,4,1,0,1,,5.5,7.8,3,7,,10.66500062,700.1527277,4.999999999,390,16,49,3.999999998,2.56,10,1.010838225,1.676141975,0,132
Ligustrum quihoui,LIQU2,Oleaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1927,,39,10,972,6,,1,,5.470095718,7.599005347,5.392331232,8.469837068,,10.66500062,700.1527277,0.373969326,794.0390848,25.09183235,54.1,3.000000001,3,5.5,1.43,2.44595127,0,99
Ligustrum sinense,LISI,Oleaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1850,Escape,657,37,3632,7,,1,Long,5.5,7.5,6,9,,10.66500062,16.53,0,914.0000001,28,63,4.570000001,7.62,7.62,1.94398763,3.872403725,0,176
Ligustrum vulgare,LIVU,Oleaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1822,Escape,274,48,215,30,0,1,Long,5,7.5,4,7,,10.93466733,15.96,0,900.0000003,18,50,6.000000002,1.5,6,1.524999999,3.049999999,0,204
Limonium ramosissimum,,Plumbaginaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1996,,13,2,574,3,,1,,5,9.1,9,10,,11.16050054,0.887,0,380,10,35,1.482957605,2.09,11.48,1.117065232,4.181410215,1,30
Limonium ramosissimum subsp. provinciale,LIRAP,Plumbaginaceae,Forb/Shrub,Perennial,Angiosperm,Forb,Herbaceous,2007,,,,,,,,,6.3,8.6,10,10,,11.16050054,0.887,0,100,14,31,,,,,,1,19
Linum bienne,LIBI5,Linaceae,Forb,Biennial,Angiosperm,Forb,Herbaceous,1901,,30,6,1,33,0,0,,5,7.5,8,10,,32.07870654,1.25,0,1900.000001,21,117,0.29,0.15,2.5,0.59,1.021091592,1,125
Linum usitatissimum,,Linaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1822,,10,5,0,6,0,0,,5,7.6,9,10,,47.019,6.36,0,2400,16,57,0.5,2.7,3,0.7,1.4,1,204
Lobularia maritima,LOMA,Brassicaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1841,,41,19,4,15,0,0,,5,8.9,5,9,,28.4481321,0.4,0,1380,12,61,0.18,2.54,2.54,0.334245048,0.392453099,1,185
Lolium multiflorum,LOMU,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1600,Escape,,,,46,1,1,Long,5,8.8,6,10,,34.96383576,2.92,0,2630,13,109,1.5,1.3,30,2.63,8.119999997,1,426
Lolium perenne,LOPE,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1902,Escape,185,42,139,66,1,1,Long,5.2,8,3,10,,25.40718562,1.96,0,2000,18,25,1.07,0.6,20,2.679999999,8.280000001,1,124
Lolium pratense,LOPR7,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1930,,,,,61,1,1,,6.7,6.9,4.719630098,8.378531372,,28.33539565,1.94,200.9999999,3048,33,41,1.2,0.7,25,2.737344794,19.43335434,1,96
Lonicera fragrantissima,LOFR,Caprifoliaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1884,,33,11,12,4,,1,,5.46425698,7,4,8,,23.81441088,2.2,7.026176391,1692.64506,25.69201552,47.47,3.049999999,7.62,7.62,0.92,2.430255335,0,142
Lonicera japonica,LOJA,Caprifoliaceae,Vine,Perennial,Angiosperm,Vine,Woody,1877,Escape,1184,55,8786,7,,1,Long,4.9,8.6,4,9,,23.81441088,1.8,0,1190,13,60,8.000000004,3,7.5,0.72,1.350835499,0,149
Lonicera maackii,LOMA6,Caprifoliaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1900,Escape,499,43,879,9,,1,Long,5.5,8,3,8,,27.92116592,3.063208667,0,3000.000001,25,60,6.000000002,3.81,8.89,0.785,1.570000001,0,126
Lonicera standishii,LOST2,Caprifoliaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1932,,9,4,10,,,0,,5.26190253,7.724374609,5,8,,23.81441088,12.33872533,0.113382952,1733.316639,22.25575172,56.16,2.44,5.08,10.16,0.98,2.102640872,0,94
Lonicera x bella,,Caprifoliaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1922,,209,24,216,,,1,,5.317055657,7.326598304,4.630846429,7.533217133,,23.81441088,12.33872533,7.433237514,1469.060626,23.27631024,42.61,6.000000002,2.54,6.35,0.86,2.839873489,0,104
Lonicera xylosteum,LOXY,Caprifoliaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1840,,32,11,2,34,0,1,,5.381526051,7.103636911,4,6,,21.43059296,3.57,4.190120855,2121.092611,26.48571049,46.06,3.049999999,12,6,0.75,1.5,0,186
Lotus corniculatus,LOCO6,Fabaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1879,,745,60,270,74,1,1,,4.9,9.1,6,10,0,22.02111941,1.29,0,2870,11,85,0.73,1.1,2.2,0.59,1.730000001,1,147
Lotus pedunculatus subsp. pedunculatus,LOPE80,Fabaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,,,5,2,0,,,1,,6,7.3,9,9,0,21.43832679,1.93,380,820,43,67,,,,0.39,,1,
Ludwigia grandiflora,,Onagraceae,Forb/Shrub,Perennial,Angiosperm,Forb,Herbaceous,1935,Escape,118,23,109,30,,,Long,5.3,6.5,8,10,,31.887,0.090347815,0,1200,21,103,0.2,5.06,11.81,1.085436898,2.268392245,1,91
Ludwigia hexapetala,LUHE5,Onagraceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1844,,,,,28,,,,5.2,7.4,9,10,,31.887,0.090347815,0,2600,15,59,0.266694293,7.62,15.24,1.274153428,1.997385164,1,182
Ludwigia peploides,LUPE5,Onagraceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1863,Escape,,,,68,,,Long,5.2,8.1,9,10,,31.887,1.54,0,889.9999998,12,65,0.1,1.9,10.01,0.869790964,0.874503851,1,163
Ludwigia peruviana,LUPE6,Onagraceae,Forb/Shrub,Perennial,Angiosperm,Forb,Herbaceous,1893,,81,3,1465,30,,1,,5.049974002,7.768218183,8.027423954,9.840526908,,31.887,0.07,0,2600,13.83070051,86.88,0.176618692,3,15,1.099999999,1.369126674,1,133
Lunaria annua,LUAN,Brassicaceae,Forb,Biennial,Angiosperm,Forb,Herbaceous,1839,,97,37,31,10,,0,,5,7.6,7,10,,38.232,15.79,0,2199.999999,20,73,0.91,7.62,15.24,0.580813464,2.02585304,1,187
Lupinus polyphyllus,LUPO2,Fabaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,,Escape,,,,17,0,,Long,4.9,7.8,5,10,,21.45768025,20.95,0,2970,18,115,1.22,2.54,12.7,0.85,1.819026327,1,
Lycopus europaeus,,Lamiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1860,,34,13,0,66,1,1,,5.66988948,7.534085897,4.889515923,9.319517781,,63.076,0.33,20.07691754,1650.617056,21.4526681,51.47,0.65,4.49,7.72,0.748150697,1.909115597,1,166
Lygodium japonicum,LYJA,Schizaeaceae,Forb/Vine,Perennial,Fern,Vine,Herbaceous,1903,Escape,316,16,5526,31,,1,Long,,,7,13,,,,0,2550,50,394,30,7.62,15.24,11.66,,1,123
Lysimachia arvensis,ANAR,Primulaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1895,,208,39,3,80,,0,,5,8.5,8,10,,28.41304981,0.45,0,2280.000001,14,101,0.3,1,2.5,1.175017762,1.942088463,1,131
Lysimachia vulgaris,LYVU,Primulaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1822,,98,27,8,54,1,1,,5.17946712,7.510315957,4,8,,23.725,0.33,0,300,21.50686567,69.97,0.91,3.81,10.16,1.271676982,5.720906719,1,204
Lythrum hyssopifolia,LYHY3,Lythraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1800,,60,9,4,61,1,1,,5,8.3,8,10,,24.172,0.11,0,1960,14,79,0.16,1.02,3,0.691810165,0.751407155,1,226
Lythrum salicaria,LYSA2,Lythraceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1820,Stowaway,1160,76,2990,78,1,1,Long,5,8,3,10,1,24.20415414,0.07,0,2199.999999,13,73,3.049999999,2.54,15.24,0.710707714,1.341243453,1,206
Maackia amurensis var. amurensis,MAAM9,Fabaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,,,,,,,,,,5,8.5,4,9,,13.1578947,273.9294657,,1200,10,65,6,2.54,7.62,,,0,
Maclura pomifera,MAPO,Moraceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,,,,,,3,,1,,4.5,7.9,4,9,,24.4,31.78,0,1500,15,55,10.67,7.62,15.24,0.495559602,0.894594277,0,
Macrothelypteris torresiana,MATO3,Aspleniaceae,Forb,Perennial,Fern,Forb,Herbaceous,1904,Escape,18,8,1,51,,1,Long,7.093654742,7.004202368,10.0181436,10.64110485,,35.06690909,,0,100,28,79,1.5,50,85,5.076363392,48.18999913,1,122
Madia glomerata,MAGL2,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1902,,,,,27,,,,4.847940978,7.950725021,6,9,1,0.209815341,0.844,0,3099.999999,18,81,1.264820768,5.94,8.07,1.480780053,3.413980765,1,124
Madia sativa,MASA,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1880,,,,,10,,,,5,7.7,8,10,1,0.209815341,3.13,0,1480,15,67,1.539131754,5.43,7.4,1.54535214,5.395106981,1,146
Malephora crocea,,Aizoaceae,Shrub,Perennial,Angiosperm,Shrub,Herbaceous,1946,,14,2,12,1,,1,,5.2,9.1,9,10,,,5.39,0,100,10,27,3.095047946,1.08,12.9,0.590731156,2.482104594,1,80
Malus baccata,MABA,Rosaceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1917,,8,6,1,23,,0,,5.281290287,7.877268421,2,7,,16.34443863,15.01,0,1500,20.22041648,58.87,12.19000001,3.5,8,0.72,0.986662015,0,109
Malus domestica,MADO4,Rosaceae,Tree,Perennial,Angiosperm,Tree,Woody,1625,,,,,8,0,0,,5.2,7.6,7,10,,17.22653747,12.42,0,1600,14,93,6.800000003,6.5,10,1.354481984,3.106457511,0,401
Malus toringo,,Rosaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1856,,20,9,0,6,,0,,5,7.8,4,8,,16.34443863,31.35698064,100,2000,32,60,7.620000001,2.26,11.29,1.210000001,1.933383221,0,170
Malva moschata,,Malvaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1845,,34,12,0,22,0,1,,5.46634634,8.498287745,6.584882159,11.17852088,,20.03333333,1.92,0,1300,12.9781204,79.22,0.46,15.24,15.24,1.359999999,3.821923543,1,181
Malva neglecta,MANE,Malvaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1816,,114,44,46,53,0,0,,5,8.9,6,10,,23.7,2.23,0,2800,9,97,0.3,7.62,15.24,0.8,1.573588457,1,210
Malva parviflora,MAPA5,Malvaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1825,,75,19,7,50,0,0,,5,9,6,11,,22.68782504,2.68,0,2500,6,75,0.5,10,10,0.5,1.019383688,1,201
Malvastrum coromandelianum,MACO6,Malvaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1840,,20,6,0,42,,1,,5.557751995,7.985024534,10,12,1,20.98979004,1.87,0,100,18.83851711,70.69,0.62,5.5,7,1.053378338,5.765927688,1,186
Manilkara zapota,MAZA,Sapotaceae,Tree,Perennial,Angiosperm,Tree,Woody,1935,Escape,10,3,15,14,,1,Long,4,7,10,11,0,5.620192507,126.74,0,2500,60,100,20.11999999,4,12.7,2.144902652,34.98875521,0,91
Marrubium vulgare,MAVU,Lamiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1833,Escape,241,30,905,59,1,1,Long,5,8.8,7,11,,14.2,0.92,0,2470,9,65,0.44,5,5,1.650460023,2.64301175,1,193
Marsilea quadrifolia,,Marsileaceae,Forb,Perennial,Fern,Forb,Herbaceous,1821,,63,23,46,26,,1,,6.5,7.5,,,,46.334,,,,,,0.14,,,4.08,,1,205
Maytenus boaria,,Celastraceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1940,,9,2,65,9,,1,,5.488640913,7.518636579,4.700906293,8.330733001,,11.25316071,14.55,100,400,17,47,20.00000001,3.88,6.54,0.424799404,3.461673793,0,86
Mazus pumilus,,Mazaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1902,,63,22,0,34,,0,,5.7,7.8,9,10,,,0.01,0,699.9999996,18.30810747,60.07,0.2,1.5,3,1.171800664,2.700049905,1,124
Medicago arabica,,Fabaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1832,,43,12,0,35,0,0,,4.8,8,9,10,,32.76,3.26,0,719.9999999,21,67,0.611840004,0.68,2.51,0.61,1.22,1,194
Medicago falcata,MEFA,Fabaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1736,,,,,56,0,1,,5.137762575,8.113297552,6.661253621,9.738681714,,18.38503677,1.71,1.417543964,1655.793135,15.39359934,71.98,0.91,0.85,2.54,0.9,2.434107928,1,290
Medicago lupulina,MELU,Fabaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1832,Escape,505,70,33,74,0,1,Long,4.8,8.5,6,10,,24.73322564,1.57,0,2800,9,85,0.6,0.6,2,0.9,1.8,1,194
Medicago minima,,Fabaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1869,,22,8,0,68,0,0,,5.1,7.8,8,10,,26.19230769,0.99,55.00000001,1500,16,45,0.4,0.5,2.2,0.575,1.15,1,157
Medicago polymorpha,MEPO3,Fabaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1832,Escape,123,21,29,52,0,1,Long,5,8.8,3,9,,20.185,3.12,0,2460,12,109,0.4,1.5,2,0.555,1.11,1,194
Medicago sativa subsp. sativa,MESAS,Fabaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1909,,,,,,,,,5.4,8.8,6,10,,28.03636506,1.64,0,2390,11,103,1,,,1.29,,1,117
Megathyrsus maximus,MEMA22,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1870,Escape,,,,53,,,Long,5.2,6.9,7.960110526,11.20211857,,26.46470061,8.839506508,0,1800,32,87,2,3.5,40,1.940892514,22.78300846,1,156
Melaleuca quinquenervia,MEQU,Lithomyrtus,Tree,Perennial,Angiosperm,Tree,Woody,1926,Escape,59,3,13860,4,,1,Long,5,6.5,9,11,,3.083025364,0.26,0,1400,33,200,24.99999999,3.5,9,0.97,15.4196586,0,100
Melia azedarach,MEAZ,Meliaceae,Tree,Perennial,Angiosperm,Tree,Woody,1839,Escape,574,32,2908,27,,1,Long,4,8,7,11,,19.43880651,360.83,0,2700.000001,15,94,40,7.62,7.62,0.43,1.476409904,0,187
Melilotus indicus,MEIN2,Fabaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1800,,104,24,58,54,0,0,,6.1,8.2,7,11,,20.6,2.27,0,1585.093285,16,55,0.76,1.2,2,1.059375189,1.43749837,1,226
Melilotus officinalis,MEOF,Fabaceae,Forb,Biennial,Angiosperm,Forb,Herbaceous,1869,Escape,1334,84,1174,43,,0,Long,6.5,8,6,10,,19.25397245,2.47,0,1568.812801,17,65,1.83,1.27,2.54,1.175,2.349999999,1,157
Melinis minutiflora,MEMI2,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1914,Escape,5,2,3,31,,1,Long,5,7.5,6.710259917,11.95297213,,17.452007,0.12,0,3000.000001,30,98,2,14,19,2.271441316,12.52294818,1,112
Melinis repens,MERE9,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1895,Escape,87,9,903,49,,0,Long,4,10,9,10,,17.452007,0.46,0,2000,20,55,1.5,1,30,1.163574289,1.952148965,1,131
Melissa officinalis,MEOF2,Lamiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1822,,64,14,15,30,1,1,,6,8,3,7,,28.70343763,0.64,5,1620,21,67,0.61,7.62,7.62,0.8,1.457706438,1,204
Mentha aquatica,,Lamiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1831,,260,31,0,69,1,1,,5.2,7.7,9,10,,29.3932,0.16,0,1650,16,49,9.000000002,4,6,1.5,10.79521868,1,195
Mentha arvensis,MEAR4,Lamiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,,,,,,54,1,1,,5.2,8,6,10,,43.80269231,0.16,0,2140,9,73,0.6,2.54,6.35,0.45,0.855276422,1,
Mentha diemenica,,Lamiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,,,,,,5,,,,5.515232355,7.884177096,5.909620557,9.426213263,,33.03325484,0.24,2.521651497,1309.83559,14.91116268,46.15,0.926629939,2.55,6.01,0.645970331,1.492355113,1,
Mentha pulegium,MEPU,Lamiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1873,Escape,123,27,74,47,1,1,Long,5,8.5,7,10,,35.03571429,0.15,0,500,12,35,0.9,1.13,2.5,0.606903639,1.117358752,1,153
Mentha spicata,MESP3,Lamiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1800,,311,44,20,41,1,1,,5.563703886,7.869313004,5,9,,22.5,0.114923077,5.147281078,2230,11,71,0.91,2.54,7.62,0.60748103,1.328529885,1,226
Mentha x piperita,MEPI,Lamiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1800,,,,,,,,,6,8,5,9,,33.03325484,0.114923077,3.213628407,1317.161935,14.62852078,40.05,0.61,2.54,7.62,0.638680121,1.203758694,1,226
Mesembryanthemum crystallinum,MECR3,Aizoaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1874,Stowaway,23,6,7,24,,0,Long,4.854598097,8.314839207,9,11,,,0.18,0,100,17,34,1,2,20,0.4,1.610905263,1,152
Mesembryanthemum nodiflorum,MENO2,Aizoaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1882,,34,5,4,34,,0,,5,9.1,9,11,,,0.22,0,570.0000001,5,27,0.2,0.58,2,0.310073439,0.485311783,1,144
Miconia calvescens,MICA20,Melastomataceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1972,Escape,,,,21,,0,Long,,,,,,14.67886937,0.22,0,1400,59,394,12,30,80,,,0,54
Microstegium vimineum,MIVI,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1934,Contaminant,669,38,5880,22,,,Long,4,8,5,11,,26.46470061,8.839506508,1.948770512,2555.337839,13.95834296,128.17,1,1.5,10,1.663647839,12.30559727,1,92
Mikania micrantha,MIMI5,Asteraceae,Vine,Perennial,Angiosperm,Vine,Herbaceous,1936,Release,3,2,1,39,,1,Long,4.1,8.3,11,11,0,46.667,0.09,999.9999997,3000.000001,39,94.63,6.600000004,9,13,1.58778165,10.32851326,1,90
Mimosa pigra,MIPI,Fabaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1953,Stowaway,,,,37,,,Long,5.16023054,7.76211898,9.178642861,10.38955186,,18.2066,16.82,0,699.9999996,30,89,6.000000002,2.09,18,1.176319864,7.485139538,0,73
Mirabilis jalapa,MIJA,Nyctaginaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1821,Escape,33,11,3,11,,1,Short,6.1,7.8,9,11,,19.89202581,79.23,0,3000.000001,2,59,0.91,9,15,1.19,6.98595854,1,205
Mirabilis nyctaginea,MINY,Nyctaginaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,,,,,,52,,,,,,,,,19.89202581,3.8,,,,,,,,0.55,,1,
Miscanthus sacchariflorus,MISA,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1948,,76,12,37,8,,,,4.972071483,7.282018112,4,9,,26.46470061,0.95,113.2911564,2827.327231,18.01477383,55.59,2.44,2.54,91.44,3.450000002,105.3046002,1,78
Mollugo verticillata,MOVE,Molluginaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,,,,,,94,,,,6,8,2,11,,,0.09,,,,,0.15,1.27,3.81,,,1,
Momordica charantia,MOCH2,Cucurbitaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1892,Escape,38,3,84,66,,1,Long,4.3,8.7,2,11,,29.03121212,66.74,0,1000,19,161,6.099999998,10.19,7.62,2.1,3.654266212,1,134
Morus alba,MOAL,Moraceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1856,Escape,371,50,127,2,,1,Long,5,7,4,8,,14.0570027,6.75,0,3300,30,60,15.23999999,5.08,10.16,0.9,2.503570909,0,170
Mosla dianthera,MODI4,Lamiaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1941,,9,6,11,23,,,,5.392290253,6.874627131,7,8,1,28.70343763,0.29,700,2100,22.50302686,43.13,1,1.8,3.5,0.558170761,2.76869551,1,85
Muhlenbergia schreberi,MUSC,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,,,,,,49,0,1,,4.5,7.5,6,11,,26.46470061,0.12,12.69678167,1031.105737,26,55,0.98,0.4,7.62,0.9,4.189408688,1,
Murdannia keisak,MUKE,Commelinaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1930,,185,19,95,14,,,,5.408491958,5.96202363,6.638392218,9.351594279,,26.88127273,7.9585,0,343.5596057,28.51465697,27.88,0.76,3.02,7.62,1.278236719,16.08797514,1,96
Muscari botryoides,MUBO,Asparagaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1871,,27,18,0,17,,1,,6,8,3,8,,29.1,1.94,0,1500,21,65,1.22,1.2,40,47.22131328,594.8687085,1,155
Muscari neglectum,MUNE,Liliaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1871,,38,18,0,48,1,1,,5.966208879,7.5,4,7,,29.1,3.6,0,1500,21.95088597,34.69,0.3,8,40,36.83774898,267.4084195,1,155
Myoporum laetum,MYLA5,Myoporaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1950,,24,4,297,2,,0,,5,9.1,9,10,,6.796,68.42,0,1100,11,63,9.999999996,3,12.5,0.952468864,4.708935844,0,76
Myosotis latifolia,MYLA4,Boraginaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1907,,20,4,74,1,,1,,4.9,7.8,9,10,,35.20095635,0.417069947,0,1070,24,87,0.7,3.17,10.83,0.943916332,3.224030561,1,119
Myosotis scorpioides,MYSC,Boraginaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1800,,445,44,189,49,1,1,,5.5,7.5,5,9,,47.85610587,0.3,9.847328603,2100,24,55,0.46,2,8,1.4,3.698283317,1,226
Myosotis sylvatica,MYSY,Boraginaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1889,,52,14,35,32,0,0,,5.410425283,7.447549722,3,8,,29.68,0.65,0,400,29,67,0.51,1.91,7.62,0.28,0.56,1,137
Myriophyllum aquaticum,,Haloragaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1880,Escape,393,53,166,18,1,1,Long,7,9,6,10,,44.47636364,1.020363636,0,3250,12.21577839,84.5,1.83,1.2,4,0.982082221,2.22960665,1,146
Myriophyllum heterophyllum,MYHE2,Haloragidaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1932,Escape,,,,45,,,Long,6.714920225,9.004887989,5.723111689,9.578493817,,44.47636364,0.31,0,2767.998509,12.96447131,74.22,1,0.6,6.4,0.867969626,1.673759685,1,94
Najas minor,,Najadaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1932,,304,35,237,65,0,1,,6.3,7.2,,,,43.494,0.17,0,75,,,1.22,,2.54,,,1,94
Narcissus pseudonarcissus,,Amaryllidaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1840,,20,12,5,8,1,1,,5.709991021,7.089039521,4,8,,19.298704,5.13,10.77633441,334.8996162,21.32,22.69580803,0.46,1.91,18.34,11.75,91.68855367,1,186
Nardus stricta,NAST3,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1918,,11,6,12,54,1,1,,4.905122572,8.762096403,6.412054666,8.998368425,1,10.023125,0.42,0.142671374,1609.624016,13.61726496,48.14,0.6,0.1,30,2.1,4.200000001,1,108
Nasturtium microphyllum,,Brassicaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1868,,26,7,2,25,1,1,,5.516458597,6.276439083,6.065173367,7.904499246,1,72.1,0.12,437.4377441,1304.752607,17.94354946,32.95,1,3.96,18.73,0.1788,1.43,1,158
Nasturtium officinale,,Brassicaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1810,Escape,709,78,71,59,1,1,Long,5.5,7,5.352277208,8.33632782,1,42.225,0.19,41.41653692,1621.817217,14.62571943,42.37,0.38,3.81,15.24,0.19,0.76,1,216
Nepeta cataria,NECA2,Lamiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1829,,159,44,9,45,1,1,,5.72928687,7.217802506,3,9,,31.74083667,0.55,60,1838.834691,20,55,1.22,7.62,15.24,0.65,1.975179225,1,197
Nephrolepis brownii,NEMU,Polypodiaceae,Forb,Perennial,Fern,Forb,Herbaceous,1940,Escape,26,2,52,41,,,Short,,,,,,12.7839574,,0,2000,2,,1.3,5,2,,,1,86
Nerium oleander,NEOL,Apocynaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1870,,72,15,126,32,0,1,,5.5,7.8,8,10,1,13.08817187,3.87,0,2000,5,94,4.999999998,3,18,1.537523196,11.88691663,0,156
Neyraudia reynaudiana,NERE,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1915,,25,3,722,22,,,,5,9,9,11,,26.46470061,8.839506508,0,1900.000001,2,17,3.000000001,2.5,100,1.654175305,9.238666026,1,111
Nicandra physalodes,NIPH,Solanaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1821,Escape,1,1,0,5,,1,Long,5.981473305,8.5,7,10,1,26.225,0.84,399.9999999,2400,11.51107729,55.24,3.999999998,18,25,1.249128039,3.463993306,1,205
Nicotiana glauca,NIGL,Solanaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1865,Escape,107,14,2330,8,,0,Long,6.054116233,8.882979987,4,11,1,16.3398693,0.04,0,3700,2,34,7.000000004,18.5,25,5.300000001,10.65603418,0,161
Noccaea perfoliata,,Brassicaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1913,,,,,51,,0,,,,,,1,28.4481321,672.3876916,,,,,,,,,,1,113
